Vendor_ID,Vendor_Name,District,City,Shop_Address,Products_Sold,Price_Range,Contact_Number
1,Krushi Seva Kendra,Pune,Pune,"Shivaji Nagar, Pune","Wheat seeds, Urea",500–2500,9876543210
2,GreenGrow Agro,Nashik,Nashik,"MIDC Area, Nashik","Insecticides, Fungicides",300–1800,9823456712
3,Farmers Choice,Nagpur,Nagpur,"Itwari Market, Nagpur","Sprayers, Hoes",700–5000,9765432198
4,Shree Agrovet,Kolhapur,Kolhapur,"Shahupuri, Kolhapur","Soybean, Cotton seeds",1200–4000,9898765432
5,Kisan Mitra Store,Ahmednagar,Ahmednagar,Savedi Road,"DAP, Potash",600–3200,9812345678
6,Agro World,Aurangabad,Aurangabad,CIDCO,"Drip pipes, Sprinklers",2000–15000,9876123450
7,Mahalakshmi Agro,Satara,Satara,Karad Road,"Paddy seeds, Hand tools",500–3500,9887766554
8,Bharat Krushi Kendra,Solapur,Solapur,Market Yard,Herbicides,400–2200,9797979797
9,Om Agro Agencies,Jalgaon,Jalgaon,Station Road,Bio fertilizers,350–2800,9898989898
10,Shakti Agro Traders,Sangli,Sangli,Miraj Road,"Seeds, Fertilizers, Tools",500–8000,9877001122
11,Kisan Seva Kendra,Satara,Satara,Market Yard Rd,"Seeds, Fertilizers",300–1500,9XXXXXXXX1
12,Shree Agro Traders,Kolhapur,Kolhapur,Shahupuri,"Pesticides, Tools",250–2000,9XXXXXXXX2
13,Balaji Krushi Seva,Solapur,Solapur,MIDC Area,"Fertilizers, Pumps",500–8000,9XXXXXXXX3
14,Om Agrovet,Baramati,Pune,Indapur Rd,"Seeds, Sprayers",200–3500,9XXXXXXXX4
15,GreenGrow Stores,Sangli,Sangli,Vishrambag,Fertilizers,400–1800,9XXXXXXXX5
16,Mahadev Agro,Beed,Beed,Jalna Rd,"Seeds, Pesticides",300–2200,9XXXXXXXX6
17,किसान Agro Center,Latur,Latur,Ausa Rd,Fertilizers,350–2000,9XXXXXXXX7
18,Sai Krushi Kendra,Osmanabad,Dharashiv,Tuljapur Rd,"Seeds, Tools",200–3000,9XXXXXXXX8
19,Shivneri Agro,Junnar,Pune,ST Stand Rd,"Sprayers, Seeds",400–4500,9XXXXXXXX9
